Поисковый запрос,Позиция,Заголовок,СМИ / Источник,Дата публикации,Сниппет,URL публикации,Домен,Тип результата,Тональность,Комментарий релевантности,Сюжетный кластер
лобов вадим университет синергия,11,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,12.02.2024 08:00,сниппет Google недоступен,http://www.russia-on.ru/184386,russia-on.ru,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,12,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,07.03.2023 08:00,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,ossetia.tv,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,13,"Друзья Шварценеггера: Как владельцы университета ""Синергия"" зарабатывают миллиарды",Портал РЕПОСТ,24.10.2022 07:00,сниппет Google недоступен,https://m.repost.news/news/9867-druzjja_shvartseneggera_kak_vladeljtsy_universiteta_sinergija_zarabatyvajut_milliardy/print,m.repost.news,Расследование / Критический материал,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,14,"Вадим Лобов - досье, биография, фото, последние новости",Парламент.UA,18.07.2024 07:00,сниппет Google недоступен,https://parlament.ua/ru/dossier/lobov-vadim/,parlament.ua,Досье / Биография,Нейтральная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,15,Мошенничество под прикрытием ВУЗа: как разводят на деньги студентов «Синергии»,Портал РЕПОСТ,15.11.2022 08:00,сниппет Google недоступен,https://repost.news/news/11272-moshennichestvo_pod_prikrytiem_vuza_kak_razvodjat_na_denjgi_studentov_sinergii,repost.news,Расследование / Критический материал,Негативная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,12.07.2026 21:04,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,sostav.ru,Авторская колонка / Блог,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,2,Президент «Синергии» Лобов: «Грамотная миграционная политика—решение проблемы кадров»,Forbes.ru,29.12.2025 08:00,сниппет Google недоступен,https://www.forbes.ru/club/552791-prezident-sinergii-lobov-gramotnaa-migracionnaa-politika-resenie-problemy-kadrov,forbes.ru,Интервью / Прямая речь,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,3,Вадим Лобов и корпорация «Синергия» запустили выставку «За тридевять земель» на ВДНХ как новое прочтение классики русского искусства с поддержкой мультимедиа форматов — SMINEWS,SMINEWS,03.11.2025 08:00,сниппет Google недоступен,https://sminews.ru/2891,sminews.ru,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,4,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,01.11.2025 07:00,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,otdeln.ru,Пресс-релиз / Корпоративная новость,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,5,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,20.01.2026 08:00,сниппет Google недоступен,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,zarya-egorlik.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,6,они свяжут главные точки обители в единую маршрутную сеть для паломников,Журнал ФОМА,15.07.2026 07:00,сниппет Google недоступен,https://foma.ru/patriarhu-kirillu-predstavili-proekt-ekotrop-na-valaame-oni-svyazhut-glavnye-tochki-obiteli-v-edinuyu-marshrutnuyu-set-dlya-palomnikov.html,foma.ru,Стандартная новость / Статья,Нейтральная,"Околотематическая/контекстная релевантность: проект экотроп на Валааме, связанный с инициативами руководства.",Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,7,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,12.07.2024 12:04,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,repost.news,Расследование / Критический материал,Негативная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,8,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,28.05.2024 07:00,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,vmo24.ru,Интервью / Прямая речь,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,9,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,05.07.2024 07:00,сниппет Google недоступен,https://pravo.ru/story/253963/,pravo.ru,Интервью / Прямая речь,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,10,Выставка «За тридевять земель»: мультимедийное погружение в шедевры русского искусства на ВДНХ при поддержке Вадима Лобова — Осетия ТВ,Осетия ТВ,10.09.2025 07:00,сниппет Google недоступен,https://www.ossetia.tv/2025/09/10/vystavka-za-tridevyat-zemel-multimedijnoe-pogruzhenie-v-shedevry-russkogo-iskusstva-na-vdnh-pri-podderzhke-vadima-lobova/,ossetia.tv,Интервью / Прямая речь,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,11,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,03.02.2024 08:00,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,megapolisonline.ru,Стандартная новость / Статья,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,12,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,22.10.2018 07:00,сниппет Google недоступен,https://www.proekt.media/investigation/synergiya-biznes/,proekt.media,Расследование / Критический материал,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,13,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,12.08.2024 07:00,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,sakhaday.ru,Интервью / Прямая речь,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,14,Рост EdTech-выручки «Синергии» трехкратно превысил средний показатель рынка,TAdviser,26.04.2024 07:00,сниппет Google недоступен,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%A1%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F_%D0%9A%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D1%8F,tadviser.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,15,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,12.02.2024 08:00,сниппет Google недоступен,http://www.russia-on.ru/184386,russia-on.ru,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,16,Предновогодний гала-вечер «Хрустальная симфония» Корпорации «Синергия» и Posta-Magazine,Posta-Magazine,16.12.2024 08:00,сниппет Google недоступен,https://posta-magazine.ru/article/khrustalnaya-simfonia-2024/,posta-magazine.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,17,"Друзья Шварценеггера: Как владельцы университета ""Синергия"" зарабатывают миллиарды",Портал РЕПОСТ,24.10.2022 07:00,сниппет Google недоступен,https://m.repost.news/news/9867-druzjja_shvartseneggera_kak_vladeljtsy_universiteta_sinergija_zarabatyvajut_milliardy/print,m.repost.news,Расследование / Критический материал,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,18,«Синергия» и Право.ru договорились развивать правовую культуру РФ - новости Право.ру,ПРАВО.Ru,11.05.2023 07:00,сниппет Google недоступен,https://pravo.ru/lf/news/246443/,pravo.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,19,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,07.03.2023 08:00,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,ossetia.tv,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим синергия,20,Вадим Георгиевич Лобов: Выход из Болонской системы сохранит кадровые ресурсы России,Мегаполис — Городская сеть информирования и взаимопомощи,14.02.2024 08:00,сниппет Google недоступен,https://megapolisonline.ru/vadim-georgievich-lobov-vyhod-iz-bolonskoj-sistemy-sohranit-kadrovye-resursy-rossii/,megapolisonline.ru,Стандартная новость / Статья,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,12.07.2026 21:04,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,sostav.ru,Авторская колонка / Блог,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,2,Основатели «Арт России» Вадим Лобов и Елизавета Фролова — о коллекционировании без посредников,buro247.ru,27.03.2026 07:00,сниппет Google недоступен,https://www.buro247.ru/culture/arts/23-mar-2026-art-russia-interview.html,buro247.ru,Интервью / Прямая речь,Нейтральная,Тематическая релевантность: Вадим Лобов упоминается как сооснователь ярмарки «Арт Россия» (проект «Синергии»).,Одиночная публикация (не объединена в сюжет)
лобов вадим,3,Вадим Лобов и корпорация «Синергия» запустили выставку «За тридевять земель» на ВДНХ как новое прочтение классики русского искусства с поддержкой мультимедиа форматов — SMINEWS,SMINEWS,03.11.2025 08:00,сниппет Google недоступен,https://sminews.ru/2891,sminews.ru,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,4,они свяжут главные точки обители в единую маршрутную сеть для паломников,Журнал ФОМА,15.07.2026 07:00,сниппет Google недоступен,https://foma.ru/patriarhu-kirillu-predstavili-proekt-ekotrop-na-valaame-oni-svyazhut-glavnye-tochki-obiteli-v-edinuyu-marshrutnuyu-set-dlya-palomnikov.html,foma.ru,Стандартная новость / Статья,Нейтральная,"Околотематическая/контекстная релевантность: проект экотроп на Валааме, связанный с инициативами руководства.",Одиночная публикация (не объединена в сюжет)
лобов вадим,5,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,01.11.2025 07:00,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,otdeln.ru,Пресс-релиз / Корпоративная новость,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,6,"Тимати с Ивановой, желтый синхрон Агаты и Дранги, кот Базилио Хрусталев: открытие «Арт Россия",StarHit,03.04.2026 07:00,сниппет Google недоступен,https://www.starhit.ru/novosti/timati-vopreki-slukham-ob-izmene-prishel-s-ivanovoi-agata-s-drangoi-v-zheltom-sinkhrone-a-khrustalev-v-obraze-kota-bazilio-otkrytie-art-rossiya-6939626/,starhit.ru,Интервью / Прямая речь,Нейтральная,Умеренная/косвенная релевантность: результат выдан поисковиком по ассоциативной связи с персоной или институтом.,Одиночная публикация (не объединена в сюжет)
лобов вадим,7,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,12.07.2024 12:04,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,repost.news,Расследование / Критический материал,Негативная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,8,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,28.05.2024 07:00,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,vmo24.ru,Интервью / Прямая речь,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,9,Выставка «За тридевять земель»: мультимедийное погружение в шедевры русского искусства на ВДНХ при поддержке Вадима Лобова — Осетия ТВ,Осетия ТВ,10.09.2025 07:00,сниппет Google недоступен,https://www.ossetia.tv/2025/09/10/vystavka-za-tridevyat-zemel-multimedijnoe-pogruzhenie-v-shedevry-russkogo-iskusstva-na-vdnh-pri-podderzhke-vadima-lobova/,ossetia.tv,Интервью / Прямая речь,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим,10,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,12.08.2024 07:00,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,sakhaday.ru,Интервью / Прямая речь,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим,11,Корпорация «Синергия» приобрела часть российского бизнеса международной группы Hays,Forbes.ru,27.07.2022 07:00,сниппет Google недоступен,https://www.forbes.ru/svoi-biznes/472819-korporacia-sinergia-priobrela-cast-rossijskogo-biznesa-mezdunarodnoj-gruppy-hays,forbes.ru,Интервью / Прямая речь,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим,12,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,03.02.2024 08:00,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,megapolisonline.ru,Стандартная новость / Статья,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,13,Posta Art: открытие ярмарки современного искусства «Арт Россия» в Гостином дворе,Posta-Magazine,05.04.2025 07:00,сниппет Google недоступен,https://posta-magazine.ru/article/art-russia-2025-opening/,posta-magazine.ru,Интервью / Прямая речь,Нейтральная,Умеренная/косвенная релевантность: результат выдан поисковиком по ассоциативной связи с персоной или институтом.,Одиночная публикация (не объединена в сюжет)
лобов вадим,14,"Фонд ""Защитники отечества"" и ""Синергия"" организуют бесплатное обучение ветеранов СВО",РАПСИ,11.12.2023 08:00,сниппет Google недоступен,http://rapsinews.ru/incident_news/20231211/309463728.html,rapsinews.ru,Стандартная новость / Статья,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим,15,«Синергия» и Право.ru договорились развивать правовую культуру РФ - новости Право.ру,ПРАВО.Ru,11.05.2023 07:00,сниппет Google недоступен,https://pravo.ru/lf/news/246443/,pravo.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим,16,Рост EdTech-выручки «Синергии» трехкратно превысил средний показатель рынка,TAdviser,26.04.2024 07:00,сниппет Google недоступен,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%A1%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F_%D0%9A%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D1%8F,tadviser.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим,17,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,12.02.2024 08:00,сниппет Google недоступен,http://www.russia-on.ru/184386,russia-on.ru,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,18,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,07.03.2023 08:00,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,ossetia.tv,Интервью / Прямая речь,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим,19,Вадим Георгиевич Лобов: Выход из Болонской системы сохранит кадровые ресурсы России,Мегаполис — Городская сеть информирования и взаимопомощи,14.02.2024 08:00,сниппет Google недоступен,https://megapolisonline.ru/vadim-georgievich-lobov-vyhod-iz-bolonskoj-sistemy-sohranit-kadrovye-resursy-rossii/,megapolisonline.ru,Стандартная новость / Статья,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
лобов вадим,20,"Арт Россия 2024: Вадим Георгиевич Лобов раскрыл самые ожидаемые события ярмарки, которая пройдет весной",Осетия ТВ,31.08.2022 07:00,сниппет Google недоступен,https://www.ossetia.tv/2022/08/31/art-russia-2024/,ossetia.tv,Стандартная новость / Статья,Нейтральная,Тематическая релевантность: Вадим Лобов упоминается как сооснователь ярмарки «Арт Россия» (проект «Синергии»).,Одиночная публикация (не объединена в сюжет)
