query,position,sub_position,title,source,domain,published_at_display,published_at_iso,snippet,url,result_type,is_clustered_story,cluster_size,relevance_comment,checked_at,notes
лобов вадим университет синергия,11,,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,russia-on.ru,12 февр. 2024 г.,2024-02-12,сниппет Google недоступен,http://www.russia-on.ru/184386,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,12,,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,ossetia.tv,7 мар. 2023 г.,2023-03-07,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,Видео / телесюжет,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,13,,"Друзья Шварценеггера: Как владельцы университета ""Синергия"" зарабатывают миллиарды",Портал РЕПОСТ,m.repost.news,24 окт. 2022 г.,2022-10-24,сниппет Google недоступен,https://m.repost.news/news/9867-druzjja_shvartseneggera_kak_vladeljtsy_universiteta_sinergija_zarabatyvajut_milliardy/print,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,14,,"Вадим Лобов - досье, биография, фото, последние новости",Парламент.UA,parlament.ua,18 июл. 2024 г.,2024-07-18,сниппет Google недоступен,https://parlament.ua/ru/dossier/lobov-vadim/,Досье / биографическая справка,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,15,,Мошенничество под прикрытием ВУЗа: как разводят на деньги студентов «Синергии»,Портал РЕПОСТ,repost.news,15 нояб. 2022 г.,2022-11-15,сниппет Google недоступен,https://repost.news/news/11272-moshennichestvo_pod_prikrytiem_vuza_kak_razvodjat_na_denjgi_studentov_sinergii,Критический / расследовательский материал,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,1,,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,sostav.ru,12 июл.,2026-07-12,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,Подкаст / аудиоформат,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим синергия,2,,Президент «Синергии» Лобов: «Грамотная миграционная политика—решение проблемы кадров»,Forbes.ru,forbes.ru,29 дек. 2025 г.,2025-12-29,сниппет Google недоступен,https://www.forbes.ru/club/552791-prezident-sinergii-lobov-gramotnaa-migracionnaa-politika-resenie-problemy-kadrov,Деловое СМИ — новость/статья,False,1,"Высокая/средняя: упомянуты фамилия «Лобов» и «Синергия», но имя «Вадим» отсутствует в заголовке (может уточняться в тексте).",2026-08-16T23:12:54+00:00,
лобов вадим синергия,3,,Вадим Лобов и корпорация «Синергия» запустили выставку «За тридевять земель» на ВДНХ как новое прочтение классики русского искусства с поддержкой мультимедиа форматов — SMINEWS,SMINEWS,sminews.ru,3 нояб. 2025 г.,2025-11-03,сниппет Google недоступен,https://sminews.ru/2891,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим синергия,4,,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,otdeln.ru,1 нояб. 2025 г.,2025-11-01,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим синергия,5,,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,zarya-egorlik.ru,20 янв.,2026-01-20,сниппет Google недоступен,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,6,,они свяжут главные точки обители в единую маршрутную сеть для паломников,Журнал ФОМА,foma.ru,15 июл.,2026-07-15,сниппет Google недоступен,https://foma.ru/patriarhu-kirillu-predstavili-proekt-ekotrop-na-valaame-oni-svyazhut-glavnye-tochki-obiteli-v-edinuyu-marshrutnuyu-set-dlya-palomnikov.html,Новостная статья / заметка СМИ,False,1,"Низкая: ни фамилия «Лобов», ни «Синергия» не встречаются в заголовке — требуется ручная проверка полного текста публикации.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,7,,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,repost.news,12 июл. 2024 г.,2024-07-12,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,Критический / расследовательский материал,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим синергия,8,,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,vmo24.ru,28 мая 2024 г.,2024-05-28,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим синергия,9,,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,pravo.ru,5 июл. 2024 г.,2024-07-05,сниппет Google недоступен,https://pravo.ru/story/253963/,Интервью,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,10,,Выставка «За тридевять земель»: мультимедийное погружение в шедевры русского искусства на ВДНХ при поддержке Вадима Лобова — Осетия ТВ,Осетия ТВ,ossetia.tv,10 сент. 2025 г.,2025-09-10,сниппет Google недоступен,https://www.ossetia.tv/2025/09/10/vystavka-za-tridevyat-zemel-multimedijnoe-pogruzhenie-v-shedevry-russkogo-iskusstva-na-vdnh-pri-podderzhke-vadima-lobova/,Видео / телесюжет,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,11,,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,megapolisonline.ru,3 февр. 2024 г.,2024-02-03,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим синергия,12,,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,proekt.media,22 окт. 2018 г.,2018-10-22,сниппет Google недоступен,https://www.proekt.media/investigation/synergiya-biznes/,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,13,,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,sakhaday.ru,12 авг. 2024 г.,2024-08-12,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,Новостная статья / заметка СМИ,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,14,,Рост EdTech-выручки «Синергии» трехкратно превысил средний показатель рынка,TAdviser,tadviser.ru,26 апр. 2024 г.,2024-04-26,сниппет Google недоступен,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%A1%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F_%D0%9A%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D1%8F,Деловое СМИ — новость/статья,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,15,,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,russia-on.ru,12 февр. 2024 г.,2024-02-12,сниппет Google недоступен,http://www.russia-on.ru/184386,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим синергия,16,,Предновогодний гала-вечер «Хрустальная симфония» Корпорации «Синергия» и Posta-Magazine,Posta-Magazine,posta-magazine.ru,16 дек. 2024 г.,2024-12-16,сниппет Google недоступен,https://posta-magazine.ru/article/khrustalnaya-simfonia-2024/,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,17,,"Друзья Шварценеггера: Как владельцы университета ""Синергия"" зарабатывают миллиарды",Портал РЕПОСТ,m.repost.news,24 окт. 2022 г.,2022-10-24,сниппет Google недоступен,https://m.repost.news/news/9867-druzjja_shvartseneggera_kak_vladeljtsy_universiteta_sinergija_zarabatyvajut_milliardy/print,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,18,,«Синергия» и Право.ru договорились развивать правовую культуру РФ - новости Право.ру,ПРАВО.Ru,pravo.ru,11 мая 2023 г.,2023-05-11,сниппет Google недоступен,https://pravo.ru/lf/news/246443/,Отраслевое СМИ (юридическая тематика),False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим синергия,19,,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,ossetia.tv,7 мар. 2023 г.,2023-03-07,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,Видео / телесюжет,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим синергия,20,,Вадим Георгиевич Лобов: Выход из Болонской системы сохранит кадровые ресурсы России,Мегаполис — Городская сеть информирования и взаимопомощи,megapolisonline.ru,14 февр. 2024 г.,2024-02-14,сниппет Google недоступен,https://megapolisonline.ru/vadim-georgievich-lobov-vyhod-iz-bolonskoj-sistemy-sohranit-kadrovye-resursy-rossii/,Новостная статья / заметка СМИ,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим,1,,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,sostav.ru,12 июл.,2026-07-12,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,Подкаст / аудиоформат,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим,2,,Основатели «Арт России» Вадим Лобов и Елизавета Фролова — о коллекционировании без посредников,buro247.ru,buro247.ru,27 мар.,2026-03-27,сниппет Google недоступен,https://www.buro247.ru/culture/arts/23-mar-2026-art-russia-interview.html,Новостная статья / заметка СМИ,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим,3,,Вадим Лобов и корпорация «Синергия» запустили выставку «За тридевять земель» на ВДНХ как новое прочтение классики русского искусства с поддержкой мультимедиа форматов — SMINEWS,SMINEWS,sminews.ru,3 нояб. 2025 г.,2025-11-03,сниппет Google недоступен,https://sminews.ru/2891,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим,4,,они свяжут главные точки обители в единую маршрутную сеть для паломников,Журнал ФОМА,foma.ru,15 июл.,2026-07-15,сниппет Google недоступен,https://foma.ru/patriarhu-kirillu-predstavili-proekt-ekotrop-na-valaame-oni-svyazhut-glavnye-tochki-obiteli-v-edinuyu-marshrutnuyu-set-dlya-palomnikov.html,Новостная статья / заметка СМИ,False,1,"Низкая: ни фамилия «Лобов», ни «Синергия» не встречаются в заголовке — требуется ручная проверка полного текста публикации.",2026-08-16T23:12:54+00:00,
лобов вадим,5,,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,otdeln.ru,1 нояб. 2025 г.,2025-11-01,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим,6,,"Тимати с Ивановой, желтый синхрон Агаты и Дранги, кот Базилио Хрусталев: открытие «Арт Россия",StarHit,starhit.ru,3 апр.,2026-04-03,сниппет Google недоступен,https://www.starhit.ru/novosti/timati-vopreki-slukham-ob-izmene-prishel-s-ivanovoi-agata-s-drangoi-v-zheltom-sinkhrone-a-khrustalev-v-obraze-kota-bazilio-otkrytie-art-rossiya-6939626/,Новостная статья / заметка СМИ,False,1,"Низкая: ни фамилия «Лобов», ни «Синергия» не встречаются в заголовке — требуется ручная проверка полного текста публикации.",2026-08-16T23:12:54+00:00,
лобов вадим,7,,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,repost.news,12 июл. 2024 г.,2024-07-12,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,Критический / расследовательский материал,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим,8,,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,vmo24.ru,28 мая 2024 г.,2024-05-28,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим,9,,Выставка «За тридевять земель»: мультимедийное погружение в шедевры русского искусства на ВДНХ при поддержке Вадима Лобова — Осетия ТВ,Осетия ТВ,ossetia.tv,10 сент. 2025 г.,2025-09-10,сниппет Google недоступен,https://www.ossetia.tv/2025/09/10/vystavka-za-tridevyat-zemel-multimedijnoe-pogruzhenie-v-shedevry-russkogo-iskusstva-na-vdnh-pri-podderzhke-vadima-lobova/,Видео / телесюжет,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим,10,,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,sakhaday.ru,12 авг. 2024 г.,2024-08-12,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,Новостная статья / заметка СМИ,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
лобов вадим,11,,Корпорация «Синергия» приобрела часть российского бизнеса международной группы Hays,Forbes.ru,forbes.ru,27 июл. 2022 г.,2022-07-27,сниппет Google недоступен,https://www.forbes.ru/svoi-biznes/472819-korporacia-sinergia-priobrela-cast-rossijskogo-biznesa-mezdunarodnoj-gruppy-hays,Деловое СМИ — новость/статья,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим,12,,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,megapolisonline.ru,3 февр. 2024 г.,2024-02-03,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим,13,,Posta Art: открытие ярмарки современного искусства «Арт Россия» в Гостином дворе,Posta-Magazine,posta-magazine.ru,5 апр. 2025 г.,2025-04-05,сниппет Google недоступен,https://posta-magazine.ru/article/art-russia-2025-opening/,Новостная статья / заметка СМИ,False,1,"Низкая: ни фамилия «Лобов», ни «Синергия» не встречаются в заголовке — требуется ручная проверка полного текста публикации.",2026-08-16T23:12:54+00:00,
лобов вадим,14,,"Фонд ""Защитники отечества"" и ""Синергия"" организуют бесплатное обучение ветеранов СВО",РАПСИ,rapsinews.ru,11 дек. 2023 г.,2023-12-11,сниппет Google недоступен,http://rapsinews.ru/incident_news/20231211/309463728.html,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим,15,,«Синергия» и Право.ru договорились развивать правовую культуру РФ - новости Право.ру,ПРАВО.Ru,pravo.ru,11 мая 2023 г.,2023-05-11,сниппет Google недоступен,https://pravo.ru/lf/news/246443/,Отраслевое СМИ (юридическая тематика),False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим,16,,Рост EdTech-выручки «Синергии» трехкратно превысил средний показатель рынка,TAdviser,tadviser.ru,26 апр. 2024 г.,2024-04-26,сниппет Google недоступен,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%A1%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F_%D0%9A%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D1%8F,Деловое СМИ — новость/статья,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим,17,,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,russia-on.ru,12 февр. 2024 г.,2024-02-12,сниппет Google недоступен,http://www.russia-on.ru/184386,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим,18,,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,ossetia.tv,7 мар. 2023 г.,2023-03-07,сниппет Google недоступен,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,Видео / телесюжет,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
